Plant,Source,Parameter,Units,date,Value,Description,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Emissions_Load
Lake,LAKE-4,SO2TONS,TONS,1/6/2022,0.000838994,SO2 in TONS,9.9,0.6,18.9,0.0,0.0,104,6.5,1013.8,1.7209783683482065e-05
Lake,LAKE-4,SO2TONS,TONS,1/7/2022,0.001046263,SO2 in TONS,9.9,-0.5,21.1,0.0,0.0,261,9.7,1011.9,2.1342006866286863e-05
Lake,LAKE-4,SO2TONS,TONS,1/8/2022,3.11283e-05,SO2 in TONS,14.9,10.0,20.6,0.0,0.0,253,18.7,1011.4,2.984781042703762e-06
Lake,LAKE-4,SO2TONS,TONS,1/9/2022,0.001300701,SO2 in TONS,11.7,5.0,11.7,0.0,0.0,40,11.9,1024.8,2.2363760687587365e-05
Lake,LAKE-4,SO2TONS,TONS,1/10/2022,0.002922881,SO2 in TONS,6.5,4.4,8.3,0.0,0.0,21,14.8,1032.3,4.657756812847923e-05
Lake,LAKE-4,SO2TONS,TONS,1/11/2022,0.001604837,SO2 in TONS,6.3,1.7,12.8,0.0,0.0,11,6.5,1027.5,2.6803890084613935e-05
Lake,LAKE-4,SO2TONS,TONS,1/12/2022,0.002364914,SO2 in TONS,6.3,-1.6,17.2,0.0,0.0,28,4.7,1025.4,4.2557382706448535e-05
Lake,LAKE-4,SO2TONS,TONS,1/13/2022,0.001309094,SO2 in TONS,6.7,-3.2,17.8,0.0,0.0,11,5.4,1022.7,2.894728857063233e-05
Lake,LAKE-4,SO2TONS,TONS,1/14/2022,0.002098776,SO2 in TONS,10.1,0.0,21.7,0.0,0.0,320,13.3,1014.3,3.798298908327907e-05
Lake,LAKE-4,SO2TONS,TONS,1/15/2022,0.003104189,SO2 in TONS,9.9,1.7,11.1,0.0,0.0,81,8.6,1024.9,4.300856556927558e-05
Lake,LAKE-4,SO2TONS,TONS,1/16/2022,0.003345919,SO2 in TONS,4.7,-3.2,13.9,0.0,0.0,2,3.6,1021.2,4.7437832299328985e-05
Lake,LAKE-4,SO2TONS,TONS,1/17/2022,0.00527367,SO2 in TONS,6.2,-2.7,18.3,0.0,0.0,310,9.4,1017.2,6.252264363243291e-05
Lake,LAKE-4,SO2TONS,TONS,1/18/2022,0.00461637,SO2 in TONS,13.6,6.7,19.4,0.3,0.0,272,15.8,1012.4,6.497369358515127e-05
Lake,LAKE-4,SO2TONS,TONS,1/19/2022,0.002756582,SO2 in TONS,11.8,6.1,16.7,0.0,0.0,251,13.3,1014.5,4.292027368437116e-05
Lake,LAKE-4,SO2TONS,TONS,1/20/2022,0.00480336,SO2 in TONS,6.8,-1.0,9.4,0.0,0.0,76,9.7,1023.1,6.419172202192266e-05
Lake,LAKE-4,SO2TONS,TONS,1/21/2022,0.003393215,SO2 in TONS,2.7,-3.2,11.7,0.0,0.0,138,5.4,1019.9,4.702687915043957e-05
Lake,LAKE-4,SO2TONS,TONS,1/22/2022,0.00215836,SO2 in TONS,6.3,0.6,12.2,0.0,0.0,46,18.4,1019.1,3.662942487382524e-05
Lake,LAKE-4,SO2TONS,TONS,1/23/2022,0.001245389,SO2 in TONS,4.4,-2.7,12.2,0.0,0.0,37,7.6,1018.9,2.081794053419908e-05
Lake,LAKE-4,SO2TONS,TONS,1/24/2022,0.003177524,SO2 in TONS,6.1,-1.0,15.6,0.0,0.0,357,7.6,1012.5,5.5920333892601854e-05
Lake,LAKE-4,SO2TONS,TONS,1/25/2022,0.00473604,SO2 in TONS,10.0,2.8,17.8,0.0,0.0,208,13.7,1011.7,6.445008097011934e-05
Lake,LAKE-4,SO2TONS,TONS,1/26/2022,0.002889273,SO2 in TONS,9.2,1.1,14.4,0.0,0.0,189,10.1,1016.4,3.9211374215904345e-05
Lake,LAKE-4,SO2TONS,TONS,1/27/2022,0.003646086,SO2 in TONS,7.6,-0.5,16.7,0.0,0.0,20,13.0,1019.0,4.617151021783953e-05
Lake,LAKE-4,SO2TONS,TONS,1/28/2022,0.00542502,SO2 in TONS,6.3,-1.0,11.1,0.0,0.0,20,10.1,1030.2,6.22010185847842e-05
Lake,LAKE-4,SO2TONS,TONS,1/29/2022,0.00521613,SO2 in TONS,4.7,-1.6,14.4,0.0,0.0,13,8.3,1024.6,6.302470809533843e-05
Lake,LAKE-4,SO2TONS,TONS,1/30/2022,0.00518438,SO2 in TONS,7.6,0.0,17.2,0.0,0.0,10,11.2,1016.2,6.314552351900094e-05
Lake,LAKE-4,SO2TONS,TONS,1/31/2022,0.001562891,SO2 in TONS,9.1,1.1,18.3,0.0,0.0,240,8.6,1012.8,2.0744188555310827e-05
Lake,LAKE-4,SO2TONS,TONS,2/1/2022,0.004680192,SO2 in TONS,12.7,6.1,17.8,0.0,0.0,211,16.2,1006.8,5.782754666811555e-05
Lake,LAKE-4,SO2TONS,TONS,2/2/2022,0.000175068,SO2 in TONS,13.0,-1.6,14.4,7.4,30.0,197,17.3,1005.0,5.266741561327323e-06
Lake,LAKE-4,SO2TONS,TONS,2/3/2022,0.003802349,SO2 in TONS,-1.7,-6.6,0.6,2.8,50.0,16,12.2,1021.5,6.004356801034276e-05
Lake,LAKE-4,SO2TONS,TONS,2/4/2022,0.003177227,SO2 in TONS,-3.1,-7.7,3.9,0.0,0.0,17,4.3,1034.3,5.1624833341145695e-05
Lake,LAKE-4,SO2TONS,TONS,2/5/2022,0.002437127,SO2 in TONS,0.0,-5.5,8.3,0.0,0.0,8,5.0,1026.9,3.442246103707407e-05
Lake,LAKE-4,SO2TONS,TONS,2/6/2022,0.000990018,SO2 in TONS,3.2,-4.3,13.9,0.0,0.0,37,11.5,1021.8,1.578642054779511e-05
Lake,LAKE-4,SO2TONS,TONS,2/7/2022,0.003041052,SO2 in TONS,6.1,-2.1,11.7,0.0,0.0,15,6.8,1028.4,4.769672817380933e-05
Lake,LAKE-4,SO2TONS,TONS,2/8/2022,0.002502466,SO2 in TONS,5.5,-3.8,16.1,0.0,0.0,17,5.4,1022.4,3.3687764605109686e-05
Lake,LAKE-4,SO2TONS,TONS,2/9/2022,0.003492508,SO2 in TONS,8.3,1.1,18.3,0.0,0.0,28,9.4,1018.1,4.478968737740351e-05
Lake,LAKE-4,SO2TONS,TONS,2/10/2022,0.003427539,SO2 in TONS,9.1,-1.0,19.4,0.0,0.0,344,9.4,1016.7,4.756619748463067e-05
