Plant,Source,Parameter,Units,date,Value,Description,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Emissions_Load
Lake,LAKE-3,NOXTONS,TONS,1/1/2022,0.030264052,NOX in TONS,9.1,1.1,13.3,0.5,0.0,270,40.7,1008.6,0.000451976899265
Lake,LAKE-3,NOXTONS,TONS,1/2/2022,0.050012858,NOX in TONS,2.2,-4.3,6.7,0.0,0.0,9,7.9,1027.8,0.0009313741485081
Lake,LAKE-3,NOXTONS,TONS,1/3/2022,0.052896123,NOX in TONS,1.3,-4.9,10.0,0.0,0.0,22,6.8,1025.6,0.0011663051307397
Lake,LAKE-3,NOXTONS,TONS,1/4/2022,0.057402325,NOX in TONS,4.7,-3.8,16.7,0.0,0.0,294,16.6,1019.1,0.0009413587760558
Lake,LAKE-3,NOXTONS,TONS,1/5/2022,0.000703075,NOX in TONS,9.7,-1.6,17.2,0.0,0.0,315,7.9,1014.3,0.0001170097992725
Lake,LAKE-3,NOXTONS,TONS,1/8/2022,0.025956216,NOX in TONS,14.9,10.0,20.6,0.0,0.0,253,18.7,1011.4,0.0004245490471978
Lake,LAKE-3,NOXTONS,TONS,1/9/2022,0.054660196,NOX in TONS,11.7,5.0,11.7,0.0,0.0,40,11.9,1024.8,0.0009425753754023
Lake,LAKE-3,NOXTONS,TONS,1/10/2022,0.067586047,NOX in TONS,6.5,4.4,8.3,0.0,0.0,21,14.8,1032.3,0.0010614855246514
Lake,LAKE-3,NOXTONS,TONS,1/11/2022,0.013729811,NOX in TONS,6.3,1.7,12.8,0.0,0.0,11,6.5,1027.5,0.0002769576221712
Lake,LAKE-3,NOXTONS,TONS,1/13/2022,0.030518803,NOX in TONS,6.7,-3.2,17.8,0.0,0.0,11,5.4,1022.7,0.0004130626316758
Lake,LAKE-3,NOXTONS,TONS,1/14/2022,0.004778481,NOX in TONS,10.1,0.0,21.7,0.0,0.0,320,13.3,1014.3,0.0001099574623545
Lake,LAKE-3,NOXTONS,TONS,1/15/2022,0.0233575,NOX in TONS,9.9,1.7,11.1,0.0,0.0,81,8.6,1024.9,0.0003973894768239
Lake,LAKE-3,NOXTONS,TONS,1/16/2022,0.022640243,NOX in TONS,4.7,-3.2,13.9,0.0,0.0,2,3.6,1021.2,0.0003225935661856
Lake,LAKE-3,NOXTONS,TONS,1/17/2022,0.046562306,NOX in TONS,6.2,-2.7,18.3,0.0,0.0,310,9.4,1017.2,0.0007349582678838
Lake,LAKE-3,NOXTONS,TONS,1/18/2022,0.044941729,NOX in TONS,13.6,6.7,19.4,0.3,0.0,272,15.8,1012.4,0.0008711596941769
Lake,LAKE-3,NOXTONS,TONS,1/19/2022,0.033044111,NOX in TONS,11.8,6.1,16.7,0.0,0.0,251,13.3,1014.5,0.0007594340889559
Lake,LAKE-3,NOXTONS,TONS,1/20/2022,0.04782205,NOX in TONS,6.8,-1.0,9.4,0.0,0.0,76,9.7,1023.1,0.0009034763233667
Lake,LAKE-3,NOXTONS,TONS,1/21/2022,0.052373803,NOX in TONS,2.7,-3.2,11.7,0.0,0.0,138,5.4,1019.9,0.0008759637817976
Lake,LAKE-3,NOXTONS,TONS,1/22/2022,0.016580612,NOX in TONS,6.3,0.6,12.2,0.0,0.0,46,18.4,1019.1,0.0002761174649201
Lake,LAKE-3,NOXTONS,TONS,1/25/2022,0.036762924,NOX in TONS,10.0,2.8,17.8,0.0,0.0,208,13.7,1011.7,0.000619804666376
Lake,LAKE-3,NOXTONS,TONS,1/26/2022,0.092181426,NOX in TONS,9.2,1.1,14.4,0.0,0.0,189,10.1,1016.4,0.0012096972040292
Lake,LAKE-3,NOXTONS,TONS,1/27/2022,0.076830537,NOX in TONS,7.6,-0.5,16.7,0.0,0.0,20,13.0,1019.0,0.0009875577174591
Lake,LAKE-3,NOXTONS,TONS,1/28/2022,0.084804197,NOX in TONS,6.3,-1.0,11.1,0.0,0.0,20,10.1,1030.2,0.0010632829577567
Lake,LAKE-3,NOXTONS,TONS,1/29/2022,0.074310358,NOX in TONS,4.7,-1.6,14.4,0.0,0.0,13,8.3,1024.6,0.0010559358259936
Lake,LAKE-3,NOXTONS,TONS,1/30/2022,0.084285227,NOX in TONS,7.6,0.0,17.2,0.0,0.0,10,11.2,1016.2,0.0011578506711127
Lake,LAKE-3,NOXTONS,TONS,1/31/2022,0.037141804,NOX in TONS,9.1,1.1,18.3,0.0,0.0,240,8.6,1012.8,0.0006248347802127
Lake,LAKE-3,NOXTONS,TONS,2/1/2022,0.06251887,NOX in TONS,12.7,6.1,17.8,0.0,0.0,211,16.2,1006.8,0.0009118023463338
Lake,LAKE-3,NOXTONS,TONS,2/2/2022,0.087090296,NOX in TONS,13.0,-1.6,14.4,7.4,30.0,197,17.3,1005.0,0.0012167290741056
Lake,LAKE-3,NOXTONS,TONS,2/3/2022,0.082151559,NOX in TONS,-1.7,-6.6,0.6,2.8,50.0,16,12.2,1021.5,0.0012790430746205
Lake,LAKE-3,NOXTONS,TONS,2/4/2022,0.072604197,NOX in TONS,-3.1,-7.7,3.9,0.0,0.0,17,4.3,1034.3,0.0013088363756823
Lake,LAKE-3,NOXTONS,TONS,2/5/2022,0.061535347,NOX in TONS,0.0,-5.5,8.3,0.0,0.0,8,5.0,1026.9,0.0009841753592234
Lake,LAKE-3,NOXTONS,TONS,2/6/2022,0.054324488,NOX in TONS,3.2,-4.3,13.9,0.0,0.0,37,11.5,1021.8,0.0008149475920933
Lake,LAKE-3,NOXTONS,TONS,2/7/2022,0.017160068,NOX in TONS,6.1,-2.1,11.7,0.0,0.0,15,6.8,1028.4,0.0003433528646575
Lake,LAKE-3,NOXTONS,TONS,2/8/2022,0.016801997,NOX in TONS,5.5,-3.8,16.1,0.0,0.0,17,5.4,1022.4,0.0003706635508997
Lake,LAKE-3,NOXTONS,TONS,2/9/2022,0.014039176,NOX in TONS,8.3,1.1,18.3,0.0,0.0,28,9.4,1018.1,0.0002739287040586
Lake,LAKE-3,NOXTONS,TONS,2/10/2022,0.015462557,NOX in TONS,9.1,-1.0,19.4,0.0,0.0,344,9.4,1016.7,0.00026053559044
Lake,LAKE-3,NOXTONS,TONS,2/11/2022,0.023613768,NOX in TONS,12.6,3.3,21.7,0.0,0.0,313,7.9,1012.2,0.0005486793422667
Lake,LAKE-3,NOXTONS,TONS,2/12/2022,0.023998763,NOX in TONS,9.9,2.8,11.1,0.0,0.0,71,12.6,1024.5,0.0003828961805148
Lake,LAKE-3,NOXTONS,TONS,2/13/2022,0.013177886,NOX in TONS,6.2,-2.1,16.7,0.0,0.0,39,5.0,1027.1,0.0003381374513138
Lake,LAKE-3,NOXTONS,TONS,2/14/2022,0.028101949,NOX in TONS,8.9,-2.7,20.6,0.0,0.0,224,5.4,1019.8,0.0007243167822191
Lake,LAKE-3,NOXTONS,TONS,2/15/2022,0.02104432,NOX in TONS,12.0,2.8,23.9,0.0,0.0,217,18.4,1010.1,0.0003151511772004
