Plant,Source,Parameter,Units,date,Value,Description,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Emissions_Load
Lake,LAKE-2,SO2TONS,TONS,1/10/2022,0.001525098,SO2 in TONS,6.5,4.4,8.3,0.0,0.0,21,14.8,1032.3,2.148525699567154e-05
Lake,LAKE-2,SO2TONS,TONS,1/11/2022,0.000864382,SO2 in TONS,6.3,1.7,12.8,0.0,0.0,11,6.5,1027.5,1.8203339911671745e-05
Lake,LAKE-2,SO2TONS,TONS,1/12/2022,0.000651518,SO2 in TONS,6.3,-1.6,17.2,0.0,0.0,28,4.7,1025.4,1.3699974148852498e-05
Lake,LAKE-2,SO2TONS,TONS,1/26/2022,0.00154989,SO2 in TONS,9.2,1.1,14.4,0.0,0.0,189,10.1,1016.4,2.061135974533401e-05
Lake,LAKE-2,SO2TONS,TONS,2/2/2022,0.001402878,SO2 in TONS,13.0,-1.6,14.4,7.4,30.0,197,17.3,1005.0,1.843858642393953e-05
Lake,LAKE-2,SO2TONS,TONS,2/3/2022,0.004441946,SO2 in TONS,-1.7,-6.6,0.6,2.8,50.0,16,12.2,1021.5,6.465352249436785e-05
Lake,LAKE-2,SO2TONS,TONS,2/4/2022,0.003585739,SO2 in TONS,-3.1,-7.7,3.9,0.0,0.0,17,4.3,1034.3,5.308657397537504e-05
Lake,LAKE-2,SO2TONS,TONS,2/5/2022,0.001175316,SO2 in TONS,0.0,-5.5,8.3,0.0,0.0,8,5.0,1026.9,1.751114027770449e-05
Lake,LAKE-2,SO2TONS,TONS,2/6/2022,0.001163924,SO2 in TONS,3.2,-4.3,13.9,0.0,0.0,37,11.5,1021.8,1.8277217835520592e-05
Lake,LAKE-2,SO2TONS,TONS,2/7/2022,0.000168906,SO2 in TONS,6.1,-2.1,11.7,0.0,0.0,15,6.8,1028.4,7.968201767741972e-06
Lake,LAKE-2,SO2TONS,TONS,2/23/2022,0.003371057,SO2 in TONS,11.9,3.9,20.0,0.0,0.0,159,21.6,1009.5,4.593809932700752e-05
Lake,LAKE-2,SO2TONS,TONS,2/24/2022,4.52922e-05,SO2 in TONS,11.2,0.6,14.4,0.0,0.0,321,18.0,1014.1,1.852894324174303e-06
Lake,LAKE-2,SO2TONS,TONS,3/2/2022,0.001067436,SO2 in TONS,14.8,5.0,26.1,0.0,0.0,17,7.9,1016.1,1.8136886584066447e-05
Lake,LAKE-2,SO2TONS,TONS,3/3/2022,7.515e-07,SO2 in TONS,16.0,6.7,25.0,0.0,0.0,24,7.6,1014.5,9.875549676511686e-05
Lake,LAKE-2,SO2TONS,TONS,3/22/2022,0.0001904,SO2 in TONS,8.7,5.6,11.7,0.0,0.0,54,13.0,1014.8,1.1735739706983653e-05
Lake,LAKE-2,SO2TONS,TONS,3/23/2022,3.87e-07,SO2 in TONS,8.6,4.4,16.1,0.0,0.0,351,12.6,1019.2,4.787325833189528e-05
Lake,LAKE-2,SO2TONS,TONS,3/25/2022,0.001851512,SO2 in TONS,16.2,4.4,27.8,0.0,0.0,22,5.8,1015.5,2.9349333751932595e-05
Lake,LAKE-2,SO2TONS,TONS,3/26/2022,0.003544423,SO2 in TONS,17.9,5.6,30.6,0.0,0.0,41,7.6,1012.8,5.563336984522911e-05
Lake,LAKE-2,SO2TONS,TONS,3/27/2022,0.002877335,SO2 in TONS,19.8,6.7,31.1,0.0,0.0,315,7.6,1008.9,4.344292719473295e-05
Lake,LAKE-2,SO2TONS,TONS,3/28/2022,0.004490026,SO2 in TONS,22.3,13.9,29.4,0.0,0.0,243,16.2,1007.8,6.0260281993069855e-05
Lake,LAKE-2,SO2TONS,TONS,3/29/2022,0.000327855,SO2 in TONS,20.7,8.9,22.8,0.0,0.0,257,35.6,1002.5,1.178459098348365e-05
Lake,LAKE-2,SO2TONS,TONS,3/30/2022,0.000914096,SO2 in TONS,12.6,7.8,21.1,0.0,0.0,265,33.8,1006.6,1.976921054872666e-05
Lake,LAKE-2,SO2TONS,TONS,3/31/2022,0.000919314,SO2 in TONS,16.3,7.8,23.3,0.0,0.0,221,10.4,1007.2,1.6213015515089246e-05
Lake,LAKE-2,SO2TONS,TONS,4/9/2022,0.002089844,SO2 in TONS,18.6,3.9,31.1,0.0,0.0,245,17.3,1009.5,2.6533352422115543e-05
Lake,LAKE-2,SO2TONS,TONS,4/10/2022,0.002397819,SO2 in TONS,24.2,18.9,28.9,0.0,0.0,248,36.0,1002.0,3.131347460385089e-05
Lake,LAKE-2,SO2TONS,TONS,4/11/2022,0.001660034,SO2 in TONS,22.6,16.1,29.4,0.0,0.0,236,30.6,1003.6,2.4801233401988067e-05
Lake,LAKE-2,SO2TONS,TONS,4/12/2022,9.693e-06,SO2 in TONS,22.5,16.1,27.2,0.0,0.0,237,38.5,1001.3,1.075900104931839e-06
Lake,LAKE-2,SO2TONS,TONS,4/14/2022,0.001141362,SO2 in TONS,16.4,3.9,26.7,0.0,0.0,177,9.7,1010.2,1.83517181378661e-05
Lake,LAKE-2,SO2TONS,TONS,4/15/2022,0.001868535,SO2 in TONS,19.9,10.6,30.6,0.0,0.0,261,13.7,1007.6,2.3744579991632536e-05
Lake,LAKE-2,SO2TONS,TONS,4/16/2022,0.001862748,SO2 in TONS,23.3,12.2,29.4,0.0,0.0,229,16.6,1009.0,2.657563617455706e-05
Lake,LAKE-2,SO2TONS,TONS,4/17/2022,0.00114678,SO2 in TONS,24.4,16.1,31.7,0.0,0.0,9,14.0,1010.8,2.088425092682992e-05
Lake,LAKE-2,SO2TONS,TONS,4/18/2022,0.002264799,SO2 in TONS,21.4,7.2,33.9,0.0,0.0,87,13.7,1011.2,2.970156246877329e-05
Lake,LAKE-2,SO2TONS,TONS,4/19/2022,0.0043662,SO2 in TONS,24.7,15.6,32.8,0.0,0.0,315,18.4,1006.2,6.866291244306289e-05
Lake,LAKE-2,SO2TONS,TONS,4/20/2022,0.002349827,SO2 in TONS,26.5,19.4,33.3,0.0,0.0,253,21.6,1005.2,3.616436998889759e-05
Lake,LAKE-2,SO2TONS,TONS,4/21/2022,0.002186827,SO2 in TONS,26.1,15.6,32.2,0.0,0.0,211,14.4,1008.4,4.0317974922873626e-05
Lake,LAKE-2,SO2TONS,TONS,4/22/2022,0.002596045,SO2 in TONS,26.1,18.3,33.3,0.0,0.0,223,32.0,1004.6,4.171983821581101e-05
Lake,LAKE-2,SO2TONS,TONS,4/23/2022,0.001275098,SO2 in TONS,22.6,15.6,27.8,0.0,0.0,302,18.4,1005.1,2.161099919194176e-05
Lake,LAKE-2,SO2TONS,TONS,4/24/2022,0.001893415,SO2 in TONS,19.7,8.3,27.2,0.0,0.0,322,13.3,1007.5,2.633568130011949e-05
