Plant,Source,Parameter,Units,date,Value,Description,tavg,tmin,tmax,prcp,snow,wdir,wspd,pres,Emissions_Load
Lake,LAKE-2,NOXTONS,TONS,1/10/2022,0.031383239,NOX in TONS,6.5,4.4,8.3,0.0,0.0,21,14.8,1032.3,0.0004421204114565
Lake,LAKE-2,NOXTONS,TONS,1/11/2022,0.017820261,NOX in TONS,6.3,1.7,12.8,0.0,0.0,11,6.5,1027.5,0.0003752834606663
Lake,LAKE-2,NOXTONS,TONS,1/12/2022,0.013730863,NOX in TONS,6.3,-1.6,17.2,0.0,0.0,28,4.7,1025.4,0.000288729502702
Lake,LAKE-2,NOXTONS,TONS,1/26/2022,0.03246185,NOX in TONS,9.2,1.1,14.4,0.0,0.0,189,10.1,1016.4,0.0004316970032383
Lake,LAKE-2,NOXTONS,TONS,2/2/2022,0.031907931,NOX in TONS,13.0,-1.6,14.4,7.4,30.0,197,17.3,1005.0,0.0004193786939082
Lake,LAKE-2,NOXTONS,TONS,2/3/2022,0.085812473,NOX in TONS,-1.7,-6.6,0.6,2.8,50.0,16,12.2,1021.5,0.001249019833515
Lake,LAKE-2,NOXTONS,TONS,2/4/2022,0.075751419,NOX in TONS,-3.1,-7.7,3.9,0.0,0.0,17,4.3,1034.3,0.0011214935912745
Lake,LAKE-2,NOXTONS,TONS,2/5/2022,0.026828399,NOX in TONS,0.0,-5.5,8.3,0.0,0.0,8,5.0,1026.9,0.0003997187635625
Lake,LAKE-2,NOXTONS,TONS,2/6/2022,0.026268826,NOX in TONS,3.2,-4.3,13.9,0.0,0.0,37,11.5,1021.8,0.0004125020663594
Lake,LAKE-2,NOXTONS,TONS,2/7/2022,0.004624758,NOX in TONS,6.1,-2.1,11.7,0.0,0.0,15,6.8,1028.4,0.0002181746348322
Lake,LAKE-2,NOXTONS,TONS,2/23/2022,0.069539195,NOX in TONS,11.9,3.9,20.0,0.0,0.0,159,21.6,1009.5,0.0009476251653502
Lake,LAKE-2,NOXTONS,TONS,2/24/2022,0.000740981,NOX in TONS,11.2,0.6,14.4,0.0,0.0,321,18.0,1014.1,3.0313376016643023e-05
Lake,LAKE-2,NOXTONS,TONS,3/2/2022,0.022764186,NOX in TONS,14.8,5.0,26.1,0.0,0.0,17,7.9,1016.1,0.0003867880225705
Lake,LAKE-2,NOXTONS,TONS,3/3/2022,0.000162491,NOX in TONS,16.0,6.7,25.0,0.0,0.0,24,7.6,1014.5,0.021353132967213
Lake,LAKE-2,NOXTONS,TONS,3/22/2022,0.049576063,NOX in TONS,8.7,5.6,11.7,0.0,0.0,54,13.0,1014.8,0.003055734091728
Lake,LAKE-2,NOXTONS,TONS,3/23/2022,7.78317e-05,NOX in TONS,8.6,4.4,16.1,0.0,0.0,351,12.6,1019.2,0.0096280544716035
Lake,LAKE-2,NOXTONS,TONS,3/25/2022,0.035746506,NOX in TONS,16.2,4.4,27.8,0.0,0.0,22,5.8,1015.5,0.0005666375022465
